epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.4426,3.79903,0.03937,0.1991,3.6566,6.90959e-05,6.90959e-05,6.90959e-05
2,64.8687,3.53418,0.24184,0.62992,2.88379,0.000131577,0.000131577,0.000131577
3,87.2457,3.19378,0.37908,0.77615,2.25963,0.000187194,0.000187194,0.000187194
4,108.809,2.9559,0.51069,0.82677,1.86966,0.000177112,0.000177112,0.000177112
5,130.769,2.80598,0.50956,0.83915,1.72147,0.000166816,0.000166816,0.000166816
6,152.474,2.6912,0.53768,0.83802,1.65259,0.00015652,0.00015652,0.00015652
7,174.045,2.61327,0.56018,0.84364,1.60697,0.000146224,0.000146224,0.000146224
8,195.533,2.5457,0.55231,0.85377,1.59483,0.000135928,0.000135928,0.000135928
9,217.169,2.46028,0.54668,0.85602,1.54865,0.000125632,0.000125632,0.000125632
10,239.012,2.43158,0.5613,0.85264,1.52759,0.000115336,0.000115336,0.000115336
11,261.561,2.38417,0.58605,0.86052,1.48078,0.00010504,0.00010504,0.00010504
12,283.895,2.35964,0.57255,0.85377,1.47712,9.4744e-05,9.4744e-05,9.4744e-05
13,305.841,2.32904,0.55681,0.85602,1.47763,8.4448e-05,8.4448e-05,8.4448e-05
14,327.828,2.31479,0.55568,0.85714,1.50213,7.4152e-05,7.4152e-05,7.4152e-05
15,349.552,2.27094,0.57593,0.86052,1.45267,6.3856e-05,6.3856e-05,6.3856e-05
16,371.599,2.25908,0.57255,0.86052,1.46582,5.356e-05,5.356e-05,5.356e-05
17,393.634,2.21624,0.5793,0.86614,1.45888,4.3264e-05,4.3264e-05,4.3264e-05
18,415.893,2.20083,0.57368,0.86277,1.46938,3.2968e-05,3.2968e-05,3.2968e-05
19,437.959,2.2138,0.5793,0.86277,1.45993,2.2672e-05,2.2672e-05,2.2672e-05
20,459.967,2.20393,0.57705,0.86277,1.44932,1.2376e-05,1.2376e-05,1.2376e-05
